Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,-0.004,-0.065,-0.015,0.029,-0.014,0.015,0.039,0.09,0.072,0.036,0.005,-0.08,-0.064,-0.07,0.026,0.099,0.006
2,-0.021,0.08,0.028,0.063,-0.024,-0.014,-0.057,0,0.056,-0.064,0.003,-0.086,-0.079,0.034,0.02,-0.017,-0.005
3,0.03,0.078,0.071,0.065,0.031,0.02,0,0.004,-0.03,0.085,-0.073,0.042,0.003,-0.097,-0.016,0.096,0.019
4,0.019,0.094,0.07,-0.08,-0.063,0.06,-0.007,0.064,0.043,0.098,-0.06,0.092,-0.053,-0.032,-0.075,-0.019,0.009
5,-0.072,-0.018,0.076,-0.005,0.097,-0.053,0.01,-0.099,-0.082,-0.031,0.006,0.005,0.089,0.092,0.007,0.096,0.007
6,0.099,-0.016,-0.053,-0.051,0.019,-0.067,-0.002,-0.028,-0.015,-0.033,-0.099,0.066,0.044,0.012,-0.057,-0.025,-0.013
7,0.009,0.059,0.013,0.092,-0.095,-0.005,0.076,-0.04,-0.096,-0.055,-0.078,-0.067,0.079,0.078,-0.087,-0.094,-0.013
8,-0.029,0.044,0.09,0.003,-0.041,0.028,0.091,-0.098,0.065,0.003,0.027,0.06,-0.069,0.099,0.055,0.033,0.023
9,0.016,-0.038,-0.073,0.028,0.09,0.071,0.055,0.022,0.09,-0.021,-0.068,-0.051,-0.073,0.003,0.083,0.028,0.01
10,0.097,-0.088,0.007,-0.099,0.048,0.057,0.081,0.087,0.007,-0.042,0.036,0.07,-0.077,-0.075,-0.014,0.02,0.007
11,-0.083,0.065,0.047,0.031,0.017,0.095,-0.083,-0.08,-0.086,0.099,-0.028,-0.093,-0.025,0.084,0.074,-0.036,0
12,-0.01,-0.082,-0.017,-0.056,0.046,-0.046,0.032,-0.042,0.018,-0.013,0.009,-0.002,0.079,0.029,0.092,-0.044,0
13,0.05,0.016,0.042,-0.023,0.069,-0.05,-0.086,-0.01,0.032,0.03,0.015,0.039,0.074,-0.078,0.003,-0.091,0.002
14,0.062,-0.059,-0.084,0.043,-0.067,0.083,-0.009,0.086,0.052,-0.065,-0.02,0.033,-0.012,-0.01,0.087,0.012,0.008
15,0.031,0.027,0.033,0.009,0.017,0.092,0.044,-0.085,0.091,0.058,0.028,0.077,-0.027,0.018,-0.031,-0.088,0.018
16,0.078,-0.022,-0.05,-0.065,-0.01,0.037,0.094,0.003,-0.076,-0.057,0.016,0.025,-0.029,0.024,-0.093,-0.011,-0.009
17,0.027,-0.089,0.039,-0.072,-0.059,0.078,-0.081,-0.032,-0.066,-0.021,-0.038,-0.092,-0.099,0.085,0.054,-0.01,-0.024
18,0.087,-0.053,-0.02,-0.026,-0.066,0.07,0.074,-0.025,0.004,0.01,-0.006,-0.022,0.061,0.046,0.035,0.076,0.015
19,0.086,0.079,0.051,0.016,-0.082,0.027,-0.077,0.038,-0.031,-0.082,-0.066,-0.015,0.037,-0.047,0.006,-0.086,-0.009
20,0.056,0.083,0.03,-0.011,0.054,-0.014,-0.049,-0.066,-0.036,0.069,0.094,-0.057,-0.064,-0.098,0.087,0.042,0.007
21,0.062,0.061,0.025,-0.054,0.005,0.028,0.091,0.065,-0.041,0.028,0.014,0.08,-0.08,-0.085,-0.075,0.085,0.013
22,0.046,-0.092,-0.086,-0.024,-0.002,-0.001,-0.018,0.051,-0.011,-0.035,0.07,0.022,-0.016,0.078,0.092,-0.042,0.002
23,0.015,0.063,0.056,-0.084,0.048,-0.059,0.034,0.023,-0.086,-0.052,0.061,0.011,0.038,0.003,0.068,0.036,0.011
24,-0.04,0.082,-0.049,-0.098,0.094,-0.084,0.087,-0.072,-0.055,0.05,0,0,-0.059,0.076,-0.057,-0.085,-0.013
25,0.002,0.007,0.063,-0.048,0.012,0.01,0.041,0.048,0.026,0.086,-0.055,-0.071,-0.068,-0.084,0.072,0.087,0.008
26,0.016,-0.065,0.086,0.056,0.089,0.022,-0.024,-0.064,-0.058,0.082,-0.057,0.093,0.04,0.04,-0.03,0.055,0.018
27,0.035,-0.021,0.076,0.068,-0.028,0.028,-0.043,-0.085,0.05,0.089,0.024,-0.015,-0.069,0.045,-0.067,0.023,0.007
28,0.063,-0.095,0.096,0.091,-0.007,0.088,-0.027,0.075,-0.086,0.002,0.049,0.092,-0.066,-0.083,0.04,0.035,0.017
29,-0.03,-0.074,-0.011,-0.088,0.081,0.08,0.003,-0.061,-0.001,-0.085,-0.088,-0.009,0.077,0.039,0.084,-0.016,-0.006
30,-0.059,0.094,-0.039,0.059,-0.099,-0.089,0.068,0.08,-0.019,-0.008,0.023,-0.056,-0.026,-0.099,-0.053,0.047,-0.011
31,-0.076,-0.093,0.012,0.046,0.09,-0.083,0.032,0.048,-0.084,0.064,0.077,0.008,0.09,-0.029,0.005,0,0.007
32,-0.079,-0.003,0.037,-0.073,0.046,0.09,0.017,0.026,-0.018,0.077,-0.089,-0.041,0.097,-0.023,-0.074,0.075,0.004
33,0.092,-0.078,0.006,-0.03,-0.001,0.042,-0.082,-0.025,0.008,-0.079,-0.058,-0.045,-0.09,-0.069,-0.051,0.086,-0.023
34,0.025,0.045,-0.09,-0.092,0.099,0.051,0.098,0,0.025,0.043,0.065,0.05,0.011,0.016,0.016,-0.067,0.018
35,0.057,0.057,-0.042,0.068,0.097,-0.029,-0.017,-0.011,0.086,0.005,-0.092,-0.075,0.091,-0.063,0.083,-0.053,0.01
36,-0.087,0.026,-0.065,-0.049,0.042,0.075,0.05,0.04,0.086,-0.024,0.008,0.074,0.009,-0.07,-0.073,0.018,0.004
37,0.013,-0.056,-0.042,0.097,0.048,-0.051,0.025,-0.063,0.009,-0.009,0.049,-0.054,0.018,0.071,0.058,0.055,0.011
38,0.044,-0.009,-0.033,-0.044,0.034,0.033,0.053,0.002,-0.041,-0.021,-0.073,-0.091,-0.051,0.066,-0.066,-0.057,-0.016
39,0.053,-0.023,-0.06,0.075,0.088,-0.027,-0.095,-0.048,0.083,-0.038,0.06,-0.06,0.038,0.014,-0.036,-0.068,-0.003
40,0.012,-0.069,0.002,0.082,-0.058,-0.087,-0.064,-0.03,0.089,-0.013,-0.002,-0.088,-0.078,-0.096,0.1,0.005,-0.018
41,-0.085,0.003,0.089,0.051,-0.039,-0.049,0.014,-0.062,0.069,0.021,-0.05,0.09,0.089,-0.061,0.016,0.026,0.008
42,-0.046,0.06,-0.087,-0.06,-0.069,-0.006,-0.016,0.076,0.013,0.015,0.061,0.031,-0.008,-0.026,0.105,-0.016,0.002
43,-0.05,0.094,-0.061,0.086,-0.095,0.047,0.075,-0.033,0.051,-0.041,-0.096,0.038,0.048,-0.073,0.06,-0.095,-0.003
44,0.086,0.105,-0.095,0.011,0.009,-0.086,-0.078,-0.001,-0.074,0.058,-0.049,-0.065,0.062,0.03,-0.059,0.08,-0.004
45,-0.048,-0.008,-0.07,0.01,-0.079,0.015,0.005,-0.01,0.102,-0.038,-0.091,0.057,0.078,0.066,-0.06,0.047,-0.002
46,0.054,-0.055,0.028,0.02,0.109,0.06,0.071,-0.075,-0.012,-0.068,-0.019,-0.039,-0.002,-0.042,0.084,-0.077,0.002
47,0.105,-0.033,0.004,0.083,0.048,-0.02,0.043,-0.04,-0.08,-0.08,-0.033,0.04,0.025,-0.078,-0.058,0.076,0
48,0.056,0.067,0.01,-0.062,-0.022,-0.025,-0.043,0.089,0.017,-0.094,-0.051,-0.038,0.054,0.06,0.083,0.096,0.012
49,-0.039,0.041,-0.081,-0.002,-0.001,0.103,-0.01,0.027,0.066,-0.002,-0.021,0.057,0.023,0.035,-0.006,-0.042,0.009
50,0.007,-0.032,-0.095,0.07,-0.095,-0.058,0.103,-0.027,0.022,0.055,0.065,0.027,0.041,-0.052,0.025,0.102,0.01
51,-0.03,0.047,-0.044,0.07,0.102,-0.065,0.009,0.024,-0.076,0.002,-0.036,0.074,-0.045,-0.005,0.071,-0.087,0.001
52,-0.023,0.074,0.036,0.037,0.035,0.081,-0.079,0.067,-0.09,-0.074,-0.039,0.023,-0.035,0.012,-0.089,-0.088,-0.01
53,-0.003,0.006,-0.071,-0.008,0.07,0.072,0.006,-0.044,0.031,0.092,0.037,-0.031,0.009,-0.041,0.001,-0.058,0.004
54,-0.032,-0.048,0.017,0.007,-0.096,0.099,-0.081,0.061,0.103,-0.088,0.109,-0.058,-0.066,-0.083,-0.085,-0.032,-0.017
55,0.056,-0.042,0.082,0.095,-0.1,0.062,0.083,-0.003,0.019,-0.079,0.086,0.05,-0.03,-0.036,0.07,-0.02,0.018
56,0.1,-0.014,0.076,0.038,0.071,0.021,0.098,-0.077,-0.04,-0.068,-0.073,0.023,-0.096,0.005,0.019,0.07,0.01
57,0.042,-0.03,-0.097,-0.075,0.004,-0.092,0.032,0.079,0.055,0.095,0.067,0.041,-0.061,0.013,0.002,-0.098,-0.001
58,-0.023,0.032,-0.091,0.072,-0.044,-0.008,0.01,-0.086,-0.092,-0.02,-0.014,0.066,-0.04,-0.036,-0.067,0.039,-0.019
59,-0.097,-0.077,-0.051,-0.087,-0.025,-0.089,0.057,0.059,-0.028,-0.014,-0.023,0.034,0.076,-0.028,-0.001,-0.073,-0.023
