Framework,Sce1.Case1,Sce1.Case2,Sce1.Case3,Sce1.Case4,Sce2.Case1,Sce2.Case2,Sce2.Case3,Sce2.Case4,Sce3.Case1,Sce3.Case2,Sce3.Case3,Sce3.Case4,Sce4.Case1,Sce4.Case2,Sce4.Case3,Sce4.Case4,AVE.
1,0.006,0.004,0.001,0.012,0.004,0.011,0.006,0.006,0,0,0.01,0.005,0.004,0,0.007,0.003,0.005
2,0.008,-0.002,-0.006,-0.004,0.003,0.005,0.006,0.021,0.002,0.01,0.002,0,0.004,0.005,0.015,0.005,0.005
3,0.006,0,-0.008,-0.007,0.004,0.003,0.008,-0.005,0.006,0.013,0.002,0.009,0.006,0.012,-0.006,0.009,0.003
4,0.013,0.001,0,0.005,0.011,0.016,0.001,0.018,0.007,0.012,0.001,0.001,0.02,0.016,0.007,0.007,0.008
5,0.001,0,0.013,-0.002,0.001,0.017,-0.003,0.016,-0.001,0.012,0.025,0.007,0.007,0.007,-0.002,-0.012,0.005
6,0.016,0.009,-0.005,-0.014,-0.001,0.004,-0.013,0.03,0.008,0.022,0.003,-0.006,0.014,-0.006,0.012,0.03,0.006
7,0.015,-0.002,0.01,-0.016,0.021,-0.002,0.035,-0.013,0.009,0.002,0.018,0.014,0.014,0.017,0.019,-0.005,0.009
8,-0.003,0.007,0.001,0.029,0.015,0.032,0.002,0.023,-0.009,0.006,0.02,0.034,0.006,0.011,0.003,0.015,0.012
9,-0.004,-0.007,0.036,-0.013,-0.009,0.026,-0.014,0.006,0.001,0.011,0.019,0.022,0.027,0.028,-0.029,0.02,0.007
10,-0.004,0.042,0.001,0.028,0.001,-0.003,0.005,-0.014,-0.008,0.008,0.017,0.008,-0.004,-0.008,-0.008,0.031,0.006
11,0.011,0.011,0.013,-0.009,0.016,0.014,0.008,-0.001,-0.003,0.062,0.032,0.027,-0.018,0.027,-0.015,0.03,0.013
12,0.027,0.016,0.05,0.053,0.012,0.016,-0.007,-0.03,-0.004,0.007,0,0.004,0.026,0.007,0.023,0.029,0.014
13,-0.001,0.018,-0.014,-0.019,0.017,0.037,0.009,0,-0.007,0.052,-0.023,0.033,-0.007,0.025,0.019,0.026,0.01
14,-0.016,0.047,0.017,0.036,-0.009,0.013,0.001,-0.024,0.003,-0.011,0.015,-0.024,-0.006,0.045,0.014,0.067,0.011
15,0.015,0.042,-0.014,0.009,0.019,0.031,-0.01,0.018,0.024,0.007,0.018,0.018,-0.02,0.02,-0.014,-0.024,0.009
16,0.015,-0.002,0.023,-0.013,0.01,0.014,0.066,-0.001,0.028,-0.003,-0.02,-0.008,0.01,0.01,-0.003,0.026,0.01
17,-0.003,0.01,0.047,0.017,0.004,0.061,-0.021,0.013,-0.002,-0.001,-0.005,-0.016,0.001,0.023,0.014,0.036,0.011
18,0.003,0.061,-0.002,-0.04,0.005,0.051,0.06,0.015,0.02,0.002,0.031,0.022,-0.019,0.049,-0.013,0.002,0.015
19,-0.015,0.03,0.009,-0.038,-0.026,0.061,0.017,0.017,0.005,0.076,-0.007,0.143,0.002,-0.004,-0.005,0.022,0.018
20,-0.007,0.048,-0.009,0.041,-0.002,0.045,0.023,0.095,0.011,-0.014,0.028,0.034,-0.023,0.023,0.021,0.063,0.024
21,0.009,-0.011,-0.008,0.031,0.031,-0.02,0.025,0.05,0.01,-0.008,0.022,0.041,-0.001,0.061,0.033,0.033,0.019
22,-0.025,-0.009,-0.006,0.022,0.029,0.013,0.004,0.027,0.007,-0.006,-0.002,-0.012,0.03,0.05,0.01,-0.002,0.008
23,0.018,0.035,0.027,-0.002,0.018,0.033,0.013,0.022,0.015,0.02,0.004,0.038,0.021,0.064,0.018,0.037,0.024
24,-0.001,-0.013,-0.009,0.037,0.028,0.063,0.017,0.04,0.005,0.001,0.025,0.028,0.014,-0.001,-0.04,0.084,0.018
25,-0.006,0.006,0.026,-0.038,-0.005,0.025,-0.025,-0.007,0.009,0.003,0.018,-0.031,0.017,-0.011,0.03,-0.007,0
26,-0.026,-0.01,-0.027,-0.007,0.01,-0.014,0.045,-0.038,0.009,0.024,0.045,0.017,-0.011,0.024,0.013,-0.023,0.002
27,-0.012,0.009,0.052,0.06,0.018,0.04,0.032,0.064,-0.02,-0.008,0.003,0.044,0.032,0.138,0.006,0.017,0.03
28,0.02,-0.018,0.007,0.027,0.021,0.05,0.05,0.04,-0.002,0.054,0.051,0.033,0.054,0.022,-0.005,0.031,0.027
29,0.052,0.031,0.013,0.027,-0.036,0.047,0.031,0.023,0.046,0.032,-0.053,0.028,-0.007,0.038,-0.073,-0.017,0.011
30,0.048,0.005,0.009,-0.043,0.012,-0.002,0.022,-0.013,0.003,0.024,0.038,-0.001,-0.032,0.017,0.069,0.003,0.01
31,0.052,0.035,-0.024,0.022,0.006,0.009,0.015,0.097,-0.041,0.042,-0.017,0.008,0.046,0.037,0.021,0.082,0.024
32,0.063,0.04,0.099,-0.031,-0.014,0.05,0.067,0.102,0.015,0.11,0.045,0.047,0.019,0.023,0.035,-0.027,0.04
33,0.003,0.009,0.048,0.059,0.027,-0.017,0.022,-0.025,0.029,0.031,0.058,0.012,-0.01,0.01,0.016,0.036,0.019
34,0.048,0.053,0.07,-0.053,-0.023,0.004,0.068,0.011,-0.035,-0.03,0.013,-0.022,0.018,0.02,0.09,0.072,0.019
35,0.015,0.063,0.011,-0.001,-0.021,0.023,0.034,0.015,0.014,0.081,-0.011,0.009,0.012,-0.01,0.036,-0.034,0.015
36,0.081,-0.033,-0.004,-0.037,0.054,0.094,0.02,-0.014,0.028,-0.003,0.017,0.011,-0.012,-0.006,0.027,0.098,0.02
37,0.061,0.087,0.003,0.062,0.043,0.075,0.006,-0.001,0.011,-0.026,0.017,0.045,-0.006,0.106,0.004,-0.034,0.028
38,0.048,-0.007,-0.052,-0.017,0.028,0.094,0.034,0.003,0.029,-0.002,0.032,0.034,0.011,0,0.057,0.011,0.019
39,-0.002,0.083,0.004,-0.028,0.08,0.004,0.057,0.024,0.038,0.102,0.053,0.081,-0.006,0.033,0.029,0.018,0.036
40,0.03,0.03,0.038,-0.025,0.043,0.072,-0.029,0.025,0.062,0.066,0.047,-0.024,0.026,-0.001,0.036,0.016,0.026
41,-0.007,-0.011,0.067,-0.066,0.018,-0.01,0.059,0.161,0.058,0.006,0.02,-0.016,0.008,-0.017,-0.026,0.039,0.018
42,0.048,0.03,0.035,-0.128,0.026,0.053,0.031,0.046,0.017,0.073,0.053,-0.027,0.024,-0.047,0.016,-0.011,0.015
43,0.019,-0.011,0.038,-0.026,-0.041,0.044,0.038,0.094,0.044,0.059,0.011,0.069,0,0.096,0.031,-0.021,0.028
44,0.047,0.082,-0.051,0.101,0.026,0.074,0.027,0.115,-0.017,0.041,0.025,0.031,-0.002,0.072,-0.04,0.053,0.036
45,0.049,-0.009,-0.004,0.069,0.023,0.044,0.069,0.065,0.048,0.073,0.069,0.003,0.01,0.037,0.065,0.069,0.042
46,0.029,0.059,0.013,0.03,0.066,0.042,0.046,0.073,0.026,-0.021,0.071,0.016,0.068,0.062,0.071,0.127,0.049
47,-0.007,-0.002,0.021,-0.006,-0.008,0.029,0.04,0.005,0.031,0.042,0.036,0.007,-0.036,0.102,0.017,0.059,0.021
48,-0.01,0.032,0.002,0.097,0.002,0.114,0.021,-0.028,0.019,-0.007,0.04,0.047,-0.04,0,-0.005,-0.008,0.017
49,0.006,-0.016,0.053,0.034,-0.005,0.126,-0.019,0.022,0.018,0.001,0.091,0.047,-0.017,-0.017,-0.011,-0.016,0.019
50,-0.055,0.007,0.044,-0.035,0.054,0.058,0.051,0.102,0.054,-0.05,0.014,0.005,0.035,0.008,0.089,0.012,0.025
51,-0.002,0.028,0.048,0.067,0.063,0.097,-0.016,0.025,0.039,0.016,0.028,0.122,-0.016,-0.049,0.02,0.081,0.034
52,0.031,0.076,0.007,0.099,0.046,0.005,0.025,-0.07,-0.017,-0.01,0.04,-0.017,0.05,0.132,0.052,0.003,0.028
53,-0.03,-0.018,0.01,0.027,0.014,0.043,-0.023,-0.023,0.014,0.007,0.071,0.049,0.014,0.086,0.027,0.17,0.027
54,0.043,0.032,0.043,0.022,0.03,0.01,-0.025,0.024,0.015,0.071,0.004,0.004,0.002,0.045,0.02,-0.061,0.017
55,0.052,0.034,0.023,0.049,-0.034,-0.003,0.028,0.02,0.045,0.018,0.031,0.055,-0.06,0.029,0.07,0.072,0.027
56,-0.05,0.037,0.097,-0.088,-0.013,0.076,0.025,-0.044,-0.021,0.06,-0.001,-0.039,-0.044,0.046,0.076,-0.014,0.006
